+-------+-----------+-----------------------------------------------+--------+
|   #   | Thread    |                      Song                     |  Time  |
|  297  | Thread-6  |                      为何                     | 0.9085 |
|  298  | Thread-2  |                    化妆舞会                   | 0.9078 |
|  299  | Thread-4  |                     拿红包                    | 0.9070 |
|  300  | Thread-5  |                 让我疯吧(高清)                | 0.9070 |
|  301  | Thread-7  |                 给陌生人的情书                | 0.9069 |
|  302  | Thread-10 |                  我们去探险吧                 | 0.9055 |
|  303  | Thread-9  |                      情歌                     | 0.9048 |
|  304  | Thread-6  |                  别让老人孤独                 | 0.9046 |
|  305  | Thread-5  |                      活该                     | 0.9033 |
|  306  | Thread-9  |                    梦回浏阳                   | 0.9030 |
|  307  | Thread-5  |                   讨人厌的字                  | 0.9030 |
|  308  | Thread-8  |                   Beautiful                   | 0.9023 |
|  309  | Thread-2  |                     过客人                    | 0.9023 |
|  310  | Thread-8  |                    开口伤人                   | 0.9014 |
|  311  | Thread-7  |                   我的小白杨                  | 0.9008 |
|  312  | Thread-8  |                   爱情心跳跳                  | 0.9004 |
|  313  | Thread-6  |                     情人桥                    | 0.8988 |
|  314  | Thread-7  |                     莫言醉                    | 0.8982 |
|  315  | Thread-4  |                 大年三十包饺子                | 0.8981 |
|  316  | Thread-5  |                     相思引                    | 0.8981 |
|  317  | Thread-3  |                   兄弟干一杯                  | 0.8979 |
|  318  | Thread-3  |                      八卦                     | 0.8968 |
|  319  | Thread-7  |                   我的小绵羊                  | 0.8961 |
|  320  | Thread-7  |                   让我们相爱                  | 0.8952 |
|  321  | Thread-7  |                      不安                     | 0.8950 |
|  322  | Thread-8  |                     春与梦                    | 0.8946 |
|  323  | Thread-8  |                变坏的好人(MTV)                | 0.8942 |
|  324  | Thread-9  |                   为人民服务                  | 0.8941 |
|  325  | Thread-4  |                 你最美丽你最亲                | 0.8932 |
|  326  | Thread-8  |                   唱出我和你                  | 0.8931 |
|  327  | Thread-9  |                 你若听见我的歌                | 0.8922 |
|  328  | Thread-3  |                    风的精灵                   | 0.8920 |
|  329  | Thread-7  |                 戴着面具的谜团                | 0.8918 |
|  330  | Thread-4  |                      陪玩                     | 0.8913 |
|  331  | Thread-4  |                    秋天别来                   | 0.8912 |
|  332  | Thread-4  |                   旅行中忘记                  | 0.8909 |
|  333  | Thread-1  |                     蒙古人                    | 0.8899 |
|  334  | Thread-6  |                 梦到破灭再从头                | 0.8899 |
