+-------+-----------+-------------------------------------------------------------+--------+
|   #   | Thread    |                             Song                            |  Time  |
|  265  | Thread-8  |                       我发誓我永远爱你                      | 0.0140 |
|  266  | Thread-5  |                        我的伤你痛不痛                       | 0.0140 |
|  267  | Thread-8  |                          妈妈我想你                         | 0.0140 |
|  268  | Thread-6  |                             唱山                            | 0.0140 |
|  269  | Thread-3  |                             慢慢                            | 0.0140 |
|  270  | Thread-6  |                          想爱不能爱                         | 0.0140 |
|  271  | Thread-3  |                         我们爱这个错                        | 0.0140 |
|  272  | Thread-7  |                             残缺                            | 0.0140 |
|  273  | Thread-6  |                        爱只能是个传说                       | 0.0140 |
|  274  | Thread-7  |                       别离开我(演唱会)                      | 0.0140 |
|  275  | Thread-6  |                        来生再做你的人                       | 0.0139 |
|  276  | Thread-6  |                     就算留住你的人(MTV)                     | 0.0139 |
|  277  | Thread-9  |                        不要爱我(MTV)                        | 0.0139 |
|  278  | Thread-8  |                       Ku_Lala(演唱会)                       | 0.0139 |
|  279  | Thread-5  |                        你一直在(MTV)                        | 0.0139 |
|  280  | Thread-8  |                   Dance_To_The_Music(MTV)                   | 0.0139 |
|  281  | Thread-7  |                       没有情人的情人节                      | 0.0139 |
|  282  | Thread-1  |                        爱你就让你幸福                       | 0.0139 |
|  283  | Thread-1  |                        我心爱的小马车                       | 0.0139 |
|  284  | Thread-8  |                       我的心上人(MTV)                       | 0.0138 |
|  285  | Thread-10 |                            爱自由                           | 0.0138 |
|  286  | Thread-2  |                            来不及                           | 0.0138 |
|  287  | Thread-7  |                            十二年                           | 0.0138 |
|  288  | Thread-10 |                       我绝对不说我爱你                      | 0.0138 |
|  289  | Thread-9  |                        我的王国(MTV)                        | 0.0138 |
|  290  | Thread-7  |                             痴梦                            | 0.0138 |
|  291  | Thread-1  |                         A_Better_Day                        | 0.0138 |
|  292  | Thread-8  |                        完美记忆(MTV)                        | 0.0138 |
|  293  | Thread-3  |                            勾一勾                           | 0.0138 |
|  294  | Thread-2  |                             红线                            | 0.0138 |
|  295  | Thread-8  |                            在这里                           | 0.0138 |
|  296  | Thread-7  |                        I_Love_金苹果                        | 0.0137 |
|  297  | Thread-1  |                            雁南飞                           | 0.0137 |
|  298  | Thread-4  |                         我爱他(MTV)                         | 0.0137 |
|  299  | Thread-4  |                             春别                            | 0.0137 |
|  300  | Thread-5  |                           一无所有                          | 0.0137 |
|  301  | Thread-9  |                         I`Ll_Be_Here                        | 0.0137 |
|  302  | Thread-6  |                           无声的雨                          | 0.0137 |
|  303  | Thread-3  |             The_Voice_Within_遗失的声音(演唱会)             | 0.0137 |
|  304  | Thread-10 |                             家书                            | 0.0137 |
|  305  | Thread-7  |                          蟑螂(MTV)                          | 0.0136 |
|  306  | Thread-4  |                            美姑娘                           | 0.0136 |
|  307  | Thread-1  |                       东方之珠(演唱会)                      | 0.0136 |
|  308  | Thread-9  |                        苦逼的人(MTV)                        | 0.0136 |
|  309  | Thread-8  |                            叹十声                           | 0.0136 |
|  310  | Thread-1  |                        我爱过的那个人                       | 0.0136 |
|  311  | Thread-5  |                           好运中国                          | 0.0136 |
|  312  | Thread-1  |                          I_Believe                          | 0.0136 |
|  313  | Thread-8  |                           北京北京                          | 0.0136 |
|  314  | Thread-4  |                        多少柔情多少泪                       | 0.0136 |
|  315  | Thread-3  |                              愧                             | 0.0136 |
|  316  | Thread-3  |                 在我流泪的时候别说爱我(MTV)                 | 0.0136 |
|  317  | Thread-3  |                           蓝色的歌                          | 0.0136 |
|  318  | Thread-5  |                        大地回春满庭芳                       | 0.0136 |
|  319  | Thread-3  |                          爱情酿的酒                         | 0.0135 |
|  320  | Thread-2  |                            算了吧                           | 0.0135 |
|  321  | Thread-7  |                         一杯茶的时间                        | 0.0134 |
|  322  | Thread-7  |                              乖                             | 0.0134 |
|  323  | Thread-2  |                        给陌生人的情书                       | 0.0134 |
|  324  | Thread-6  |                          我的心上人                         | 0.0134 |
|  325  | Thread-3  |                             某人                            | 0.0134 |
|  326  | Thread-5  |                        他总有一天回来                       | 0.0134 |
|  327  | Thread-10 |                             着迷                            | 0.0134 |
|  328  | Thread-10 |                       我好想哭(FLASH)                       | 0.0134 |
|  329  | Thread-8  |                         忘记你的温柔                        | 0.0133 |
|  330  | Thread-7  |                             苦酒                            | 0.0133 |
|  331  | Thread-6  |                    火焰驹-小鸟哀鸣声不断                    | 0.0133 |
|  332  | Thread-9  |                          高原的阳光                         | 0.0133 |
|  333  | Thread-2  |                        中国我为你歌唱                       | 0.0133 |
|  334  | Thread-3  |                        男人最痛的眼泪                       | 0.0133 |
|  335  | Thread-5  |                         恰似你的温柔                        | 0.0133 |
|  336  | Thread-5  |                       留爱给最想爱的人                      | 0.0133 |
|  337  | Thread-4  |                           突然想你                          | 0.0133 |
|  338  | Thread-8  |                             旅途                            | 0.0133 |
|  339  | Thread-3  |                   莫斯科郊外的晚上(演唱会)                  | 0.0133 |
|  340  | Thread-4  |                           One_Day                           | 0.0133 |
|  341  | Thread-10 |                           青藏高原                          | 0.0133 |
|  342  | Thread-9  |                      错的时间遇上对的你                     | 0.0133 |
|  343  | Thread-10 |                         牧羊曲(MTV)                         | 0.0133 |
|  344  | Thread-1  |                        过完冬季(MTV)                        | 0.0133 |
|  345  | Thread-6  |                         我的多啦a梦                         | 0.0132 |
|  346  | Thread-8  |                        Fly_Away(MTV)                        | 0.0132 |
|  347  | Thread-10 |                          我是一双鱼                         | 0.0132 |
|  348  | Thread-10 |                     年轻人我们都是年轻人                    | 0.0132 |
|  349  | Thread-2  |                       有一天我们都会老                      | 0.0132 |
|  350  | Thread-9  |                    我最爱的美丽女人(高清)                   | 0.0132 |
|  351  | Thread-7  |                        今夜为你醉一回                       | 0.0132 |
|  352  | Thread-5  |                      假如今夜你在我的家                     | 0.0132 |
|  353  | Thread-4  |                          快乐小舞曲                         | 0.0132 |
|  354  | Thread-3  |                             千寻                            | 0.0132 |
|  355  | Thread-6  |                           梦寐以求                          | 0.0132 |
|  356  | Thread-6  |                          无奈的牵挂                         | 0.0131 |
|  357  | Thread-1  |                       不可能的人(MTV)                       | 0.0131 |
|  358  | Thread-10 |                             眼泪                            | 0.0131 |
|  359  | Thread-9  |                           梦想天堂                          | 0.0131 |
|  360  | Thread-1  |                             逃爱                            | 0.0131 |
|  361  | Thread-4  |                          你那里几点                         | 0.0131 |
|  362  | Thread-8  |                             追忆                            | 0.0131 |
|  363  | Thread-7  |                           爱我别走                          | 0.0131 |
|  364  | Thread-1  |                         擦乾你的泪水                        | 0.0131 |
|  365  | Thread-9  |                       多少柔情多少怀念                      | 0.0131 |
|  366  | Thread-5  |                         在路上(高清)                        | 0.0131 |
|  367  | Thread-7  |                       回心转意(欣赏版)                      | 0.0131 |
|  368  | Thread-3  |                      为你写一首幸福的歌                     | 0.0131 |
|  369  | Thread-6  |                           爱爱爱爱                          | 0.0130 |
|  370  | Thread-3  |                            月之恋                           | 0.0130 |
|  371  | Thread-9  |                            我以为                           | 0.0130 |
|  372  | Thread-9  |                             报答                            | 0.0130 |
|  373  | Thread-1  |                          动人的部份                         | 0.0130 |
